OrderID,Data_Ordine,Cliente_ID,Categoria,Prodotto,Prezzo_Unitario,Quantita,Sconto_Applicato,Metodo_Pagamento,Stato_Spedizione,Citta_Destinazione
1001,2026-01-01,C765,Monitor,LG UltraGear 34,799.0,1,,PayPal,Consegnato,Genova
1002,2026-01-01,C716,Monitor,LG UltraGear 34,799.0,2,0.12,Bonifico,Consegnato,Genova
1003,2026-01-01,C928,Monitor,LG UltraGear 34,799.0,1,0.12,Carta di Credito,Consegnato,Bologna
1004,2026-01-01,C704,Laptop,MacBook Pro 14,2100.0,1,0.1,PayPal,Consegnato,Firenze
1005,2026-01-02,C130,Laptop,ThinkPad X1 Carbon,1650.0,1,0.0,PayPal,Consegnato,Napoli
1006,2026-01-04,C859,Accessori,Mouse Logi MX Master 3,99.5,2,0.05,Carta di Credito,Consegnato,Firenze
1007,2026-01-03,C325,Smartphone,Google Pixel 8,799.0,1,0.0,Carta di Credito,Consegnato,Bologna
1008,2026-01-07,C765,Smartphone,Samsung Galaxy S24,950.0,1,,Bonifico,Consegnato,Milano
1009,2026-01-03,C204,Accessori,Stand per Laptop,45.0,1,0.0,PayPal,Consegnato,Palermo
1010,2026-01-08,C132,Laptop,MacBook Air M2,1199.99,1,0.05,PayPal,Consegnato,Firenze
1011,2026-01-05,C195,Smartphone,iPhone 15 Pro,1300.0,1,,Bonifico,Consegnato,Torino
1012,2026-01-09,C328,Monitor,Dell UltraSharp 27,450.0,1,0.15,Bonifico,Rimborsato,Milano
1013,2026-01-10,C338,Smartphone,iPhone 15 Pro,1300.0,1,0.0,PayPal,Consegnato,Napoli
1014,2026-01-10,C350,Laptop,MacBook Pro 14,2100.0,2,,Bonifico,Consegnato,Torino
1015,2026-01-10,C928,Accessori,Cavo USB-C Anker,15.99,1,0.1,Carta di Credito,Rimborsato,Napoli
1016,2026-01-10,C303,Monitor,LG UltraGear 34,799.0,2,0.05,Carta di Credito,Consegnato,Firenze
1017,2026-01-08,C106,Accessori,Webcam Logitech Brio,180.0,1,0.0,Bonifico,Consegnato,Roma
1018,2026-01-09,C617,Laptop,ThinkPad X1 Carbon,1650.0,1,0.05,Bonifico,Consegnato,Palermo
1019,2026-01-10,C529,Smartphone,iPhone 15 Pro,1300.0,1,0.1,PayPal,Consegnato,Palermo
1020,2026-01-10,C328,Laptop,MacBook Pro 14,2100.0,1,,Carta di Credito,Consegnato,Napoli
1021,2026-01-15,C818,Accessori,Hub USB-C Satechi,65.0,1,0.05,Carta di Credito,Consegnato,Roma
1022,2026-01-11,C384,Laptop,MacBook Air M2,1199.99,2,,Carta di Credito,Consegnato,Palermo
1023,2026-01-13,C303,Laptop,ThinkPad X1 Carbon,1650.0,1,,PayPal,Rimborsato,Palermo
1024,2026-01-14,C765,Smartphone,iPhone 15 Pro,1300.0,1,0.0,Carta di Credito,Consegnato,Milano
1025,2026-01-15,C859,Laptop,MacBook Pro 14,2100.0,1,,Carta di Credito,Consegnato,Roma
1026,2026-01-15,C381,Laptop,ThinkPad X1 Carbon,1650.0,1,,Bonifico,Consegnato,Milano
1027,2026-01-18,C350,Smartphone,Google Pixel 8,799.0,1,0.05,PayPal,Consegnato,Firenze
1028,2026-01-16,C132,Smartphone,iPhone 15 Pro,1300.0,1,0.0,PayPal,Rimborsato,Roma
1029,2026-01-15,C658,Laptop,MacBook Air M2,1199.99,1,0.05,Carta di Credito,Rimborsato,Roma
1030,2026-01-17,C127,Monitor,Dell UltraSharp 27,450.0,1,0.05,PayPal,Consegnato,Milano
1031,2026-01-21,C323,Laptop,ThinkPad X1 Carbon,1650.0,1,,Bonifico,Consegnato,Bologna
1032,2026-01-19,C877,Accessori,Stand per Laptop,45.0,1,0.1,PayPal,Consegnato,Bologna
1033,2026-01-18,C350,Smartphone,Samsung Galaxy S24,950.0,1,0.0,Carta di Credito,Consegnato,Bologna
1034,2026-01-19,C818,Smartphone,Google Pixel 8,799.0,1,0.0,Bonifico,Rimborsato,Milano
1035,2026-01-21,C106,Accessori,Hub USB-C Satechi,65.0,1,0.0,Carta di Credito,Annullato,Napoli
1036,2026-01-21,C328,Monitor,LG UltraGear 34,799.0,3,0.12,Carta di Credito,Annullato,Torino
1037,2026-01-23,C214,Accessori,Stand per Laptop,45.0,2,0.15,PayPal,Annullato,Napoli
1038,2026-01-23,C792,Laptop,MacBook Pro 14,2100.0,2,,Carta di Credito,Consegnato,Palermo
1039,2026-01-23,C323,Accessori,Tastiera Meccanica Keychron,120.0,1,0.0,PayPal,Consegnato,Roma
1040,2026-01-24,C716,Smartphone,Google Pixel 8,799.0,3,0.05,Carta di Credito,Consegnato,Bologna
1041,2026-01-24,C106,Monitor,Dell UltraSharp 27,450.0,1,0.05,Bonifico,Consegnato,Genova
1042,2026-01-27,C559,Laptop,MacBook Pro 14,2100.0,2,0.0,Carta di Credito,Consegnato,Milano
1043,2026-01-28,C384,Accessori,Cavo USB-C Anker,15.99,1,,PayPal,Consegnato,Roma
1044,2026-01-26,C559,Monitor,LG UltraGear 34,799.0,1,0.1,Bonifico,Consegnato,Genova
1045,2026-01-28,C858,Monitor,LG UltraGear 34,799.0,1,0.0,PayPal,Consegnato,Firenze
1046,2026-01-29,C818,Smartphone,Google Pixel 8,799.0,1,0.05,Bonifico,Consegnato,Roma
1047,2026-01-28,C559,Monitor,Dell UltraSharp 27,450.0,2,0.15,Bonifico,Consegnato,Napoli
1048,2026-01-28,C214,Laptop,ThinkPad X1 Carbon,1650.0,3,0.1,Carta di Credito,Consegnato,Napoli
1049,2026-01-30,C325,Smartphone,iPhone 15 Pro,1300.0,1,0.1,Carta di Credito,Consegnato,Napoli
1050,2026-01-29,C703,Smartphone,iPhone 15 Pro,1300.0,1,,Carta di Credito,Consegnato,Palermo
1051,2026-02-02,C928,Monitor,LG UltraGear 34,799.0,1,0.12,Bonifico,Consegnato,Palermo
1052,2026-01-30,C529,Smartphone,Samsung Galaxy S24,950.0,2,,PayPal,Consegnato,Palermo
1053,2026-01-31,C130,Smartphone,iPhone 15 Pro,1300.0,1,0.0,PayPal,Consegnato,Roma
1054,2026-01-31,C204,Accessori,Hub USB-C Satechi,65.0,1,0.12,Carta di Credito,Consegnato,Firenze
1055,2026-02-04,C658,Smartphone,iPhone 15 Pro,1300.0,1,0.05,Bonifico,Rimborsato,Milano
1056,2026-02-05,C674,Smartphone,iPhone 15 Pro,1300.0,2,0.0,PayPal,Annullato,Genova
1057,2026-02-05,C384,Accessori,Hub USB-C Satechi,65.0,1,0.05,Carta di Credito,Consegnato,Genova
1058,2026-02-03,C658,Accessori,Webcam Logitech Brio,180.0,1,,Bonifico,Consegnato,Milano
1059,2026-02-02,C765,Accessori,Hub USB-C Satechi,65.0,1,0.0,PayPal,Consegnato,Firenze
1060,2026-02-05,C674,Monitor,LG UltraGear 34,799.0,1,0.0,Carta di Credito,Consegnato,Milano
1061,2026-02-06,C704,Laptop,MacBook Air M2,1199.99,2,,Carta di Credito,Annullato,Torino
1062,2026-02-05,C854,Smartphone,Google Pixel 8,799.0,1,,PayPal,Consegnato,Firenze
1063,2026-02-06,C877,Laptop,ThinkPad X1 Carbon,1650.0,3,0.0,Carta di Credito,Rimborsato,Genova
